"Id";"Nome";"Tipo";"Unidade";"Mín";"Máx";"Padrão";"Dígitos dec.";"Valor";"Somente Leitura";"Comparação";"Descrição"
"P0000";"PAR_0000";"WORD";"";"0";"9999";"0";"0";"0";"";"";"Acesso aos Parâmetros"
"P0001";"PAR_0001";"WORD";"";"0";"65535";"0";"0";"150";"X";"X";"Referência Velocidade"
"P0002";"PAR_0002";"WORD";"";"0";"65535";"0";"0";"0";"X";"";"Velocidade de Saída"
"P0003";"PAR_0003";"WORD";"A";"0.0";"200.0";"0.0";"1";"0.0";"X";"";"Corrente do Motor"
"P0004";"PAR_0004";"WORD";"V";"0";"2000";"0";"0";"308";"X";"X";"Tensão Barram.CC (Ud)"
"P0005";"PAR_0005";"WORD";"Hz";"0.0";"500.0";"0.0";"1";"0.0";"X";"";"Frequência do Motor"
"P0006";"PAR_0006";"WORD";"";"0: Ready (Pronto)";"7: Estado Dormir";"0: Ready (Pronto)";"0";"0: Ready (Pronto)";"X";"";"Estado do Inversor"
"P0007";"PAR_0007";"WORD";"V";"0";"2000";"0";"0";"0";"X";"";"Tensão de Saída"
"P0009";"PAR_0009";"WORD";"%";"-1000.0";"1000.0";"0.0";"1";"0.0";"X";"";"Torque no Motor"
"P0010";"PAR_0010";"WORD";"kW";"0.0";"6553.5";"0.0";"1";"0.0";"X";"";"Potência de Saída"
"P0011";"PAR_0011";"WORD";"";"-1.00";"1.00";"0.00";"2";"0.00";"X";"";"Fator de Potência"
"P0012";"PAR_0012";"WORD";"";"0";"255";"0";"0";"5";"X";"X";"Estado DI8 a DI1"
"P0013";"PAR_0013";"WORD";"";"0";"31";"0";"0";"1";"X";"X";"Estado DO5 a DO1"
"P0014";"PAR_0014";"WORD";"%";"0.0";"100.0";"0.0";"1";"0.0";"X";"";"Valor de AO1"
"P0015";"PAR_0015";"WORD";"%";"0.0";"100.0";"0.0";"1";"0.7";"X";"X";"Valor de AO2"
"P0016";"PAR_0016";"WORD";"%";"0.0";"100.0";"0.0";"1";"0.0";"X";"";"Valor de FO %"
"P0017";"PAR_0017";"WORD";"Hz";"0";"20000";"0";"0";"0";"X";"";"Valor de FO Hz"
"P0018";"PAR_0018";"WORD";"%";"-100.0";"100.0";"0.0";"1";"61.1";"X";"X";"Valor de AI1"
"P0019";"PAR_0019";"WORD";"%";"-100.0";"100.0";"0.0";"1";"0.0";"X";"";"Valor de AI2"
"P0020";"PAR_0020";"WORD";"%";"-100.0";"100.0";"0.0";"1";"32.9";"X";"X";"Valor de AI3"
"P0021";"PAR_0021";"WORD";"%";"-100.0";"100.0";"0.0";"1";"0.0";"X";"";"Valor de FI %"
"P0022";"PAR_0022";"WORD";"Hz";"0";"20000";"0";"0";"0";"X";"";"Valor de FI Hz"
"P0023";"PAR_0023";"WORD";"";"0.00";"655.35";"0.00";"2";"2.21";"X";"X";"Versão de SW Princ."
"P0024";"PAR_0024";"WORD";"";"0.00";"655.35";"2.20";"2";"1.03";"X";"X";"Versão de SW Sec."
"P0027";"PAR_0027";"WORD";"";"0: Sem Plug-In";"15: CFW500-CRS485-PNP";"0: Sem Plug-In";"0";"3: CFW500-IOAD";"X";"X";"Config. Mod. Plug-In"
"P0029";"PAR_0029";"WORD";"";"0: Não Identificado";"48: 200-240 / 19,4A";"0: Não Identificado";"0";"3: 200-240V / 4,3A";"X";"X";"Config. HW Potência"
"P0030";"PAR_0030";"WORD";"C";"-20";"150";"0";"0";"31";"X";"X";"Temp. Módulo"
"P0037";"PAR_0037";"WORD";"%";"0";"100";"0";"0";"0";"X";"";"Sobrecarga Motor Ixt"
"P0038";"PAR_0038";"WORD";"rpm";"0";"65535";"0";"0";"0";"X";"";"Velocidade do Encoder"
"P0039";"PAR_0039";"WORD";"";"0";"40000";"0";"0";"0";"X";"";"Contador Pulsos Enc."
"P0040";"PAR_0040";"WORD";"";"0.0";"3000.0";"0.0";"1";"61.0";"X";"X";"Variável Processo PID"
"P0041";"PAR_0041";"WORD";"";"0.0";"3000.0";"0.0";"1";"50.0";"X";"X";"Valor do Setpoint PID"
"P0047";"PAR_0047";"WORD";"";"0";"999";"0";"0";"0";"X";"";"Estado CONF"
"P0048";"PAR_0048";"WORD";"";"0";"999";"0";"0";"0";"X";"";"Alarme Atual"
"P0049";"PAR_0049";"WORD";"";"0";"999";"0";"0";"0";"X";"";"Falha Atual"
"P0050";"PAR_0050";"WORD";"";"0";"999";"0";"0";"21";"X";"X";"Última Falha"
"P0051";"PAR_0051";"WORD";"A";"0.0";"200.0";"0.0";"1";"0.2";"X";"X";"Corrente Últ. Falha"
"P0052";"PAR_0052";"WORD";"V";"0";"2000";"0";"0";"201";"X";"X";"Barram. CC Últ. Falha"
"P0053";"PAR_0053";"WORD";"Hz";"0.0";"500.0";"0.0";"1";"15.0";"X";"X";"Frequência Últ. Falha"
"P0054";"PAR_0054";"WORD";"C";"-20";"150";"0";"0";"28";"X";"X";"Temp. Últ. Falha"
"P0055";"PAR_0055";"WORD";"";"0";"65535";"0";"0";"21378";"X";"X";"Estado Lóg. Últ. Falha"
"P0060";"PAR_0060";"WORD";"";"0";"999";"0";"0";"21";"X";"X";"Segunda Falha"
"P0061";"PAR_0061";"WORD";"A";"0.0";"200.0";"0.0";"1";"0.0";"X";"";"Corrente 2ª Falha"
"P0062";"PAR_0062";"WORD";"V";"0";"2000";"0";"0";"169";"X";"X";"Barram. CC 2ª Falha"
"P0063";"PAR_0063";"WORD";"Hz";"0.0";"500.0";"0.0";"1";"0.0";"X";"";"Frequência 2ª Falha"
"P0064";"PAR_0064";"WORD";"C";"-20";"150";"0";"0";"30";"X";"X";"Temp. 2ª Falha"
"P0065";"PAR_0065";"WORD";"";"0";"65535";"0";"0";"14082";"X";"X";"Estado Lóg. 2ª Falha"
"P0070";"PAR_0070";"WORD";"";"0";"999";"0";"0";"21";"X";"X";"Terceira Falha"
"P0071";"PAR_0071";"WORD";"A";"0.0";"200.0";"0.0";"1";"0.2";"X";"X";"Corrente 3ª Falha"
"P0072";"PAR_0072";"WORD";"V";"0";"2000";"0";"0";"201";"X";"X";"Barram. CC 3ª Falha"
"P0073";"PAR_0073";"WORD";"Hz";"0.0";"500.0";"0.0";"1";"57.0";"X";"X";"Frequência 3ª Falha"
"P0074";"PAR_0074";"WORD";"C";"-20";"150";"0";"0";"24";"X";"X";"Temp. 3ª Falha"
"P0075";"PAR_0075";"WORD";"";"0";"65535";"0";"0";"5890";"X";"X";"Estado Lóg. 3ª Falha"
"P0100";"PAR_0100";"WORD";"s";"0.1";"999.0";"10.0";"1";"3.0";"";"X";"Tempo Aceleração"
"P0101";"PAR_0101";"WORD";"s";"0.1";"999.0";"10.0";"1";"3.0";"";"X";"Tempo Desaceleração"
"P0102";"PAR_0102";"WORD";"s";"0.1";"999.0";"10.0";"1";"10.0";"";"";"Tempo Acel. 2ª Rampa"
"P0103";"PAR_0103";"WORD";"s";"0.1";"999.0";"10.0";"1";"10.0";"";"";"Tempo Desac. 2ª Rampa"
"P0104";"PAR_0104";"WORD";"";"0: Inativa";"1: Ativa";"0: Inativa";"0";"0: Inativa";"";"";"Rampa S"
"P0105";"PAR_0105";"WORD";"";"0: 1ª Rampa";"6: SoftPLC";"2: DIx";"0";"2: DIx";"";"";"Seleção 1ª/2ª rampa"
"P0106";"PAR_0106";"WORD";"s";"0.1";"999.0";"5.0";"1";"5.0";"";"";"Tempo 3a Rampa"
"P0120";"PAR_0120";"WORD";"";"0: Inativa";"2: Backup por P0121";"1: Ativa";"0";"1: Ativa";"";"";"Backup da Ref. Veloc."
"P0121";"PAR_0121";"WORD";"Hz";"0.0";"500.0";"3.0";"1";"15.0";"";"X";"Referência pela HMI"
"P0122";"PAR_0122";"WORD";"Hz";"-500.0";"500.0";"5.0";"1";"5.0";"";"";"Referência JOG"
"P0124";"PAR_0124";"WORD";"Hz";"-500.0";"500.0";"3.0";"1";"3.0";"";"";"Ref. 1 Multispeed"
"P0125";"PAR_0125";"WORD";"Hz";"-500.0";"500.0";"10.0";"1";"10.0";"";"";"Ref. 2 Multispeed"
"P0126";"PAR_0126";"WORD";"Hz";"-500.0";"500.0";"20.0";"1";"20.0";"";"";"Ref. 3 Multispeed"
"P0127";"PAR_0127";"WORD";"Hz";"-500.0";"500.0";"30.0";"1";"30.0";"";"";"Ref. 4 Multispeed"
"P0128";"PAR_0128";"WORD";"Hz";"-500.0";"500.0";"40.0";"1";"40.0";"";"";"Ref. 5 Multispeed"
"P0129";"PAR_0129";"WORD";"Hz";"-500.0";"500.0";"50.0";"1";"50.0";"";"";"Ref. 6 Multispeed"
"P0130";"PAR_0130";"WORD";"Hz";"-500.0";"500.0";"60.0";"1";"60.0";"";"";"Ref. 7 Multispeed"
"P0131";"PAR_0131";"WORD";"Hz";"-500.0";"500.0";"66.0";"1";"66.0";"";"";"Ref. 8 Multispeed"
"P0132";"PAR_0132";"WORD";"%";"0";"100";"10";"0";"10";"";"";"Nível Máx. Sobreveloc"
"P0133";"PAR_0133";"WORD";"Hz";"0.0";"500.0";"3.0";"1";"15.0";"";"X";"Velocidade Mínima"
"P0134";"PAR_0134";"WORD";"Hz";"0.0";"500.0";"66.0";"1";"66.0";"";"";"Velocidade Máxima"
"P0135";"PAR_0135";"WORD";"A";"0.0";"200.0";"10.0";"1";"6.4";"";"X";"Corrente Máxima Saída"
"P0136";"PAR_0136";"WORD";"%";"0.0";"30.0";"0.0";"1";"8.0";"";"X";"Boost de Torque Man."
